City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
0,Marsh Harbour,BS,Clouds,76.26,26.5412,-77.0636,Abaco Beach Resort
6,Galle,LK,Clouds,77.99,6.0367,80.217,Amangalla
9,Puerto Ayora,EC,Clouds,73.54,-0.7393,-90.3518,Finch Bay Galapagos Hotel
11,Atuona,PF,Clouds,78.84,-9.8,-139.0333,Villa Enata
15,Sabha,LY,Clouds,73.89,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
17,Caravelas,BR,Clear,76.57,-17.7125,-39.2481,Pousada dos Navegantes
22,Port Augusta,AU,Clear,70.34,-32.5,137.7667,Majestic Oasis Apartments
27,Hilo,US,Rain,78.24,19.7297,-155.09,Hilo Hawaiian Hotel
33,Mount Gambier,AU,Clear,65.32,-37.8333,140.7667,The Commodore
39,Arlit,NE,Clear,78.22,18.7369,7.3853,Case de Passage De la Prefecture
42,Dalaba,GN,Clouds,71.87,10.7,-12.25,Hôtel Tangama
46,Carnarvon,AU,Clouds,73.47,-24.8667,113.6333,Hospitality Carnarvon
47,Sompeta,IN,Clouds,79.39,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
49,Hambantota,LK,Clouds,78.04,6.1241,81.1185,Bungalow 63
50,Busselton,AU,Clouds,74.07,-33.65,115.3333,Observatory Guest House
56,Doha,QA,Clear,69.78,25.2867,51.5333,Movenpick Hotel Doha
62,Qui Nhon,VN,Rain,77.36,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
63,Kloulklubed,PW,Clouds,79.3,7.0419,134.2556,Storyboard Beach Resort
64,Bandarbeyla,SO,Clear,79.09,9.4942,50.8122,JABIR HOTEL
68,Keti Bandar,PK,Clear,78.01,24.1447,67.4497,Haji laloo memon house
73,Chivacoa,VE,Clouds,71.22,10.1603,-68.895,Hotel Fache C.A
75,Ouadda,CF,Clear,69.82,8.0777,22.4007, 
76,El Tarra,CO,Clouds,75.07,8.5756,-73.0949,Casa juvenil Sor Amanda Bedoya
79,Nishihara,JP,Clouds,67.28,26.1842,127.7558,Minshuku Agaihama
83,Victoria,HK,Clouds,68.97,22.2855,114.1577,Mini Hotel Central
84,Mahebourg,MU,Rain,78.26,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
85,Arraial Do Cabo,BR,Clouds,76.12,-22.9661,-42.0278,Pousada Porto Praia
86,Cabo San Lucas,MX,Clouds,79.11,22.8909,-109.9124,Hotel Tesoro Los Cabos
89,Methoni,GR,Clear,66.22,36.8197,21.7049,Methoni Beach Hotel
90,Pipar,IN,Clear,74.05,26.3856,73.5378,Aadam Mansion
93,Broken Hill,AU,Clouds,65.91,-31.95,141.4333,Royal Exchange Hotel
94,Vao,NC,Clouds,78.64,-22.6667,167.4833,Hotel Kou-Bugny
104,Pombas,CV,Clouds,67.78,17.1503,-25.0201,Paul Paradis
110,Russell,US,Clear,67.28,32.3502,-85.1999,Macs
114,Grand Gaube,MU,Clouds,78.39,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
121,Rikitea,PF,Clouds,76.93,-23.1203,-134.9692,People ThankYou
124,Saint-Philippe,RE,Rain,74.79,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
126,Kutum,SD,Clear,68.88,14.2,24.6667,Dibbo areaمنطقة دبو
134,Nago,JP,Clouds,66.63,26.5881,127.9761,Hotel Yugaf Inn Okinawa
140,Salalah,OM,Clear,75.29,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
146,Lukang,TW,Clear,69.06,24.0567,120.4352,二鹿行館 Lu Kang Bed and Breakbast
149,Adre,TD,Clear,75.18,13.4667,22.2, 
151,Langsa,ID,Clouds,78.21,4.4683,97.9683,OYO 2964 Hotel Ridho
152,Malang,ID,Clear,78.39,-7.9797,112.6304,Hotel Tugu Malang
155,Agadez,NE,Clear,74.89,19.75,10.25, 
156,Braganca,BR,Clouds,72.72,-1.0536,-46.7656,Marujo's Suíte Hotel
160,Hun,LY,Clouds,73.0,29.1268,15.9477,Alrwasi Hotel
161,Puerto Escondido,MX,Clouds,79.63,15.85,-97.0667,Aldea del Bazar Hotel and Spa
163,Prado,BR,Clear,77.43,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
164,Takoradi,GH,Clouds,79.65,4.8845,-1.7554,Raybow International Hotel
169,Souillac,MU,Rain,77.38,-20.5167,57.5167,Shanti Maurice Resort & Spa
170,Araouane,ML,Clouds,79.68,18.9048,-3.5265, 
172,Corowa,AU,Clouds,70.57,-36.0333,146.3833,Statesman Motor Inn
173,Port Elizabeth,ZA,Clouds,65.32,-33.918,25.5701,39 On Nile Guest House
176,Mahuva,IN,Clear,77.31,21.0914,71.7622,Hotel Blue Diamond.
181,Nan,TH,Clear,73.42,18.8333,100.6667,สะเนียน2
182,Port Moresby,PG,Rain,76.42,-9.4431,147.1797,Lamana Hotel (Port Moresby)
184,Mahanoro,MG,Rain,71.31,-19.9,48.8,BUNGALOW MAHAMANINA
191,Sibut,CF,Clouds,78.84,5.718,19.0739, 
197,Cascas,PE,Clouds,68.95,-7.4833,-78.8167,Hotel *ROSA ERMILA*
200,Bengkulu,ID,Clear,78.15,-3.8004,102.2655,Grage Hotel Bengkulu
205,San Patricio,US,Clouds,70.54,28.017,-97.5169,"Motel 6 Sinton, TX"
