City_ID,City,Country,Date,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed
0,Marsh Harbour,BS,2022-04-01 01:23:41,26.5412,-77.0636,Clouds,76.26,75,60,18.39
1,Upernavik,GL,2022-04-01 01:23:41,72.7868,-56.1549,Clouds,11.05,97,100,9.4
2,Chuy,UY,2022-04-01 01:23:41,-33.6971,-53.4616,Clouds,55.99,77,86,5.84
3,Punta Arenas,CL,2022-04-01 01:23:41,-53.15,-70.9167,Clouds,50.11,62,75,24.16
4,Ushuaia,AR,2022-04-01 01:19:32,-54.8,-68.3,Clouds,49.66,57,20,11.5
5,Bluff,NZ,2022-04-01 01:23:42,-46.6,168.3333,Clouds,54.23,52,52,5.75
6,Galle,LK,2022-04-01 01:23:42,6.0367,80.217,Clouds,77.99,82,20,1.77
7,Hami,CN,2022-04-01 01:23:42,42.8,93.45,Clear,46.96,20,0,3.87
8,Avarua,CK,2022-04-01 01:23:42,-21.2078,-159.775,Clear,84.25,74,0,9.22
9,Puerto Ayora,EC,2022-04-01 01:23:43,-0.7393,-90.3518,Clouds,73.54,100,100,1.95
10,Chardara,KZ,2022-04-01 01:23:43,41.2547,67.9692,Clouds,52.99,49,18,5.48
11,Atuona,PF,2022-04-01 01:23:43,-9.8,-139.0333,Clouds,78.84,75,79,8.23
12,Vaini,TO,2022-04-01 01:23:43,-21.2,-175.2,Clouds,84.36,84,75,10.36
13,Zyryanskoye,RU,2022-04-01 01:23:44,56.8306,86.6258,Clouds,36.01,80,100,18.45
14,Kyabe,TD,2022-04-01 01:23:44,9.4515,18.9449,Clouds,85.64,12,50,4.38
15,Sabha,LY,2022-04-01 01:23:44,27.0377,14.4283,Clouds,73.89,18,100,10.49
16,Cherskiy,RU,2022-04-01 01:23:44,68.75,161.3,Clouds,-7.1,92,94,5.99
17,Caravelas,BR,2022-04-01 01:23:45,-17.7125,-39.2481,Clear,76.57,87,4,5.53
18,Butaritari,KI,2022-04-01 01:23:45,3.0707,172.7902,Rain,81.5,78,89,16.4
19,Vauvert,FR,2022-04-01 01:23:45,43.7,4.2833,Clear,49.59,70,0,4.61
20,Lom Sak,TH,2022-04-01 01:23:46,16.7798,101.2422,Clouds,80.49,74,40,3.44
21,Atasu,KZ,2022-04-01 01:23:46,48.6814,71.6433,Clouds,26.31,81,100,5.55
22,Port Augusta,AU,2022-04-01 01:14:30,-32.5,137.7667,Clear,70.34,40,0,12.3
23,Bredasdorp,ZA,2022-04-01 01:23:46,-34.5322,20.0403,Clouds,62.85,64,100,4.41
24,Provideniya,RU,2022-04-01 01:23:46,64.3833,-173.3,Snow,23.36,80,100,20.0
25,Los Llanos De Aridane,ES,2022-04-01 01:23:47,28.6585,-17.9182,Clouds,60.55,80,100,9.22
26,Vestmannaeyjar,IS,2022-04-01 01:23:47,63.4427,-20.2734,Clouds,40.05,67,100,5.37
